ariel@vale:~/projects/rawsendmpeg2ts (master)$ /home/ariel/projects/rawsendmpeg2ts/build/rawsendmpeg2ts \
    /home/ariel/projects/moq-dev/notes/captures/golden-bbb-1080i5994-20m.ts \
    239.1.74.20:9009
derived rate: 20000000 bit/s (20.000 Mb/s)
[t+   5.0s] slips this 5s: 0 (worst 0.0 ms at t+0.0s), total 0
[t+ 370.0s] slips this 5s: 0 (worst 0.0 ms at t+316.6s), total 293
[t+ 375.0s] slips this 5s: 4 (worst 2.2 ms at t+374.3s), total 297
[t+ 380.0s] slips this 5s: 0 (worst 0.0 ms at t+374.3s), total 297
[t+ 385.0s] slips this 5s: 0 (worst 0.0 ms at t+374.3s), total 297
[t+ 390.0s] slips this 5s: 1 (worst 1.2 ms at t+386.1s), total 298
[t+ 395.0s] slips this 5s: 1 (worst 1.4 ms at t+392.4s), total 299
[t+ 400.0s] slips this 5s: 0 (worst 0.0 ms at t+392.4s), total 299
[t+ 405.0s] slips this 5s: 0 (worst 0.0 ms at t+392.4s), total 299
[t+ 410.0s] slips this 5s: 0 (worst 0.0 ms at t+392.4s), total 299
[t+ 415.0s] slips this 5s: 0 (worst 0.0 ms at t+392.4s), total 299
[t+ 420.0s] slips this 5s: 0 (worst 0.0 ms at t+392.4s), total 299
[t+ 425.0s] slips this 5s: 0 (worst 0.0 ms at t+392.4s), total 299
[t+ 430.0s] slips this 5s: 1 (worst 1.4 ms at t+428.7s), total 300
[t+ 435.0s] slips this 5s: 0 (worst 0.0 ms at t+428.7s), total 300
[t+ 440.0s] slips this 5s: 0 (worst 0.0 ms at t+428.7s), total 300
[t+ 445.0s] slips this 5s: 0 (worst 0.0 ms at t+428.7s), total 300
[t+ 450.0s] slips this 5s: 0 (worst 0.0 ms at t+428.7s), total 300
[t+ 455.0s] slips this 5s: 0 (worst 0.0 ms at t+428.7s), total 300
[t+ 460.0s] slips this 5s: 0 (worst 0.0 ms at t+428.7s), total 300
[t+ 465.0s] slips this 5s: 0 (worst 0.0 ms at t+428.7s), total 300
[t+ 470.0s] slips this 5s: 0 (worst 0.0 ms at t+428.7s), total 300
[t+ 475.0s] slips this 5s: 0 (worst 0.0 ms at t+428.7s), total 300
[t+ 480.0s] slips this 5s: 0 (worst 0.0 ms at t+428.7s), total 300
[t+ 485.0s] slips this 5s: 0 (worst 0.0 ms at t+428.7s), total 300
[t+ 490.0s] slips this 5s: 0 (worst 0.0 ms at t+428.7s), total 300
[t+ 495.0s] slips this 5s: 0 (worst 0.0 ms at t+428.7s), total 300
[t+ 500.0s] slips this 5s: 3 (worst 1.9 ms at t+496.6s), total 303
[t+ 505.0s] slips this 5s: 0 (worst 0.0 ms at t+496.6s), total 303
[t+ 510.0s] slips this 5s: 0 (worst 0.0 ms at t+496.6s), total 303
[t+ 515.0s] slips this 5s: 0 (worst 0.0 ms at t+496.6s), total 303
[t+ 520.0s] slips this 5s: 0 (worst 0.0 ms at t+496.6s), total 303
[t+ 525.0s] slips this 5s: 0 (worst 0.0 ms at t+496.6s), total 303
[t+ 530.0s] slips this 5s: 2 (worst 1.8 ms at t+528.4s), total 305
[t+ 535.0s] slips this 5s: 0 (worst 0.0 ms at t+528.4s), total 305
[t+ 540.0s] slips this 5s: 0 (worst 0.0 ms at t+528.4s), total 305
[t+ 545.0s] slips this 5s: 0 (worst 0.0 ms at t+528.4s), total 305
[t+ 550.0s] slips this 5s: 1 (worst 1.1 ms at t+546.5s), total 306
[t+ 555.0s] slips this 5s: 0 (worst 0.0 ms at t+546.5s), total 306
[t+ 560.0s] slips this 5s: 0 (worst 0.0 ms at t+546.5s), total 306
[t+ 565.0s] slips this 5s: 0 (worst 0.0 ms at t+546.5s), total 306
[t+ 570.0s] slips this 5s: 0 (worst 0.0 ms at t+546.5s), total 306
[t+ 575.0s] slips this 5s: 0 (worst 0.0 ms at t+546.5s), total 306
[t+ 580.0s] slips this 5s: 0 (worst 0.0 ms at t+546.5s), total 306
[t+ 585.0s] slips this 5s: 0 (worst 0.0 ms at t+546.5s), total 306
[t+ 590.0s] slips this 5s: 0 (worst 0.0 ms at t+546.5s), total 306
[t+ 595.0s] slips this 5s: 0 (worst 0.0 ms at t+546.5s), total 306
done: 306 clock slips, max slip 7.294 ms

