ariel@vale:~/projects/rawsendmpeg2ts/build$ /home/ariel/projects/rawsendmpeg2ts/build/rawsendmpeg2ts     /home/ariel/projects/moq-dev/notes/captures/golden-bbb-1080i-clean.ts     239.1.74.20:9009
derived rate: 11000000 bit/s (11.000 Mb/s)
[t+ 370.0s] slips this 5s: 0 (worst 0.0 ms at t+0.0s), total 0
[t+ 375.0s] slips this 5s: 0 (worst 0.0 ms at t+0.0s), total 0
[t+ 380.0s] slips this 5s: 0 (worst 0.0 ms at t+0.0s), total 0
[t+ 385.0s] slips this 5s: 0 (worst 0.0 ms at t+0.0s), total 0
[t+ 390.0s] slips this 5s: 0 (worst 0.0 ms at t+0.0s), total 0
[t+ 395.0s] slips this 5s: 0 (worst 0.0 ms at t+0.0s), total 0
[t+ 400.0s] slips this 5s: 0 (worst 0.0 ms at t+0.0s), total 0
[t+ 405.0s] slips this 5s: 0 (worst 0.0 ms at t+0.0s), total 0
[t+ 410.0s] slips this 5s: 0 (worst 0.0 ms at t+0.0s), total 0
[t+ 415.0s] slips this 5s: 0 (worst 0.0 ms at t+0.0s), total 0
[t+ 420.0s] slips this 5s: 0 (worst 0.0 ms at t+0.0s), total 0
[t+ 425.0s] slips this 5s: 0 (worst 0.0 ms at t+0.0s), total 0
[t+ 430.0s] slips this 5s: 0 (worst 0.0 ms at t+0.0s), total 0
[t+ 435.0s] slips this 5s: 0 (worst 0.0 ms at t+0.0s), total 0
[t+ 440.0s] slips this 5s: 0 (worst 0.0 ms at t+0.0s), total 0
[t+ 445.0s] slips this 5s: 0 (worst 0.0 ms at t+0.0s), total 0
[t+ 450.0s] slips this 5s: 0 (worst 0.0 ms at t+0.0s), total 0
[t+ 455.0s] slips this 5s: 0 (worst 0.0 ms at t+0.0s), total 0
[t+ 460.0s] slips this 5s: 0 (worst 0.0 ms at t+0.0s), total 0
[t+ 465.0s] slips this 5s: 0 (worst 0.0 ms at t+0.0s), total 0
[t+ 470.0s] slips this 5s: 0 (worst 0.0 ms at t+0.0s), total 0
[t+ 475.0s] slips this 5s: 0 (worst 0.0 ms at t+0.0s), total 0
[t+ 480.0s] slips this 5s: 0 (worst 0.0 ms at t+0.0s), total 0
[t+ 485.0s] slips this 5s: 0 (worst 0.0 ms at t+0.0s), total 0
[t+ 490.0s] slips this 5s: 0 (worst 0.0 ms at t+0.0s), total 0
[t+ 495.0s] slips this 5s: 11 (worst 7.1 ms at t+492.8s), total 11
[t+ 500.0s] slips this 5s: 8 (worst 8.0 ms at t+495.2s), total 19
[t+ 505.0s] slips this 5s: 0 (worst 0.0 ms at t+495.2s), total 19
[t+ 510.0s] slips this 5s: 0 (worst 0.0 ms at t+495.2s), total 19
[t+ 515.0s] slips this 5s: 0 (worst 0.0 ms at t+495.2s), total 19
[t+ 520.0s] slips this 5s: 0 (worst 0.0 ms at t+495.2s), total 19
[t+ 525.0s] slips this 5s: 0 (worst 0.0 ms at t+495.2s), total 19
[t+ 530.0s] slips this 5s: 0 (worst 0.0 ms at t+495.2s), total 19
[t+ 535.0s] slips this 5s: 0 (worst 0.0 ms at t+495.2s), total 19
[t+ 540.0s] slips this 5s: 0 (worst 0.0 ms at t+495.2s), total 19
[t+ 545.0s] slips this 5s: 0 (worst 0.0 ms at t+495.2s), total 19
[t+ 550.0s] slips this 5s: 0 (worst 0.0 ms at t+495.2s), total 19
[t+ 555.0s] slips this 5s: 0 (worst 0.0 ms at t+495.2s), total 19
[t+ 560.0s] slips this 5s: 0 (worst 0.0 ms at t+495.2s), total 19
[t+ 565.0s] slips this 5s: 0 (worst 0.0 ms at t+495.2s), total 19
[t+ 570.0s] slips this 5s: 0 (worst 0.0 ms at t+495.2s), total 19
[t+ 575.0s] slips this 5s: 0 (worst 0.0 ms at t+495.2s), total 19
[t+ 580.0s] slips this 5s: 0 (worst 0.0 ms at t+495.2s), total 19
[t+ 585.0s] slips this 5s: 0 (worst 0.0 ms at t+495.2s), total 19
[t+ 590.0s] slips this 5s: 0 (worst 0.0 ms at t+495.2s), total 19
[t+ 595.0s] slips this 5s: 0 (worst 0.0 ms at t+495.2s), total 19
done: 19 clock slips, max slip 7.966 ms

